IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018
Annex_I,OECD_Europe,IRL,Ireland,1.A.1.a,Main Activity Electricity and Heat Production,CO2,fossil,6036.00491,6913.278458,6849.419783,6284.982601,7168.769547,6671.336617,7174.572842,7389.763685,7765.196995,8317.031036,8117.434105,7534.60807,7627.382933,7425.919319,7723.191567,8315.614443,8982.274921,10206.97925,10217.92313,10537.80389,10675.13987,11242.33256,11973.30895,11988.96136,12440.01228,12953.36984,13557.62886,14041.67768,14821.56236,15307.2743,15389.28671,16662.44141,15966.28645,15060.90028,14662.24611,15129.2653,14689.31037,14346.86757,14203.81241,12722.69174,13135.31663,11771.8995,12628.54031,11230.46736,11075.86954,11733.88739,12472.15223,11604.77073,10259.01928
Annex_I,OECD_Europe,IRL,Ireland,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,CO2,fossil,20.36270952,8.35619672,5.67441324,169.7112704,158.4662104,310.4559904,239.3969472,291.6405266,229.3528178,210.2200506,175.4060232,67.13977126,64.3915715,116.8282931,126.6512333,277.2101124,335.177504,363.7696475,308.477646,330.7924764,190.3418265,183.6163803,180.9952777,181.4734668,185.029121,182.6041031,180.2427612,213.46475,256.7318851,260.0124337,298.7686334,347.57143,393.4248532,438.3664633,435.4495397,467.6448756,577.4844481,556.7917054,420.6308578,387.3251035,367.6949032,333.8592836,381.6031334,376.718093,355.7147423,375.7691798,387.0067525,398.4473964,379.0306747
Annex_I,OECD_Europe,IRL,Ireland,1.A.2,Manufacturing Industries and Construction,CO2,fossil,4489.136496,5356.63369,5194.737578,4814.624115,5231.322571,4391.713864,4399.877787,4704.070891,4246.529359,5717.280158,5792.915977,5825.844136,5383.227118,5203.172672,5740.049233,5804.896551,5093.732437,5855.478382,5108.605412,5372.991535,4124.545739,4209.055551,3902.796781,4058.604974,4252.336493,4229.967586,4052.39231,4381.405954,4314.280382,4480.616968,5185.735248,5144.547834,4809.335105,4978.673507,5045.174151,5223.527897,5178.161557,4523.667035,4459.449218,3425.216231,3382.530674,3242.249063,3242.877795,3270.378931,3475.638086,3603.602092,3759.974007,3863.857519,4103.238859
Annex_I,OECD_Europe,IRL,Ireland,1.A.3.a,Civil Aviation,CO2,fossil,110.692967,138.3633526,126.0599513,122.9908168,175.2575099,129.1398883,129.129093,79.9423369,113.7673526,110.6874156,79.9423369,21.5268655,21.5324169,12.29784985,12.29784985,49.19755855,73.83762855,52.27194415,52.2885779,49.19200715,49.19200715,55.34632975,18.4524799,67.64448705,61.4954084,49.19755855,55.34632975,67.64448705,70.71887265,83.0170228,95.31487265,113.7618012,119.9108798,113.7618012,110.6874156,138.3125563,181.2489182,159.8286193,126.003904,95.25882531,82.96067516,24.54520376,24.54520376,24.54520376,24.54520376,24.54520376,12.27260188,16.89769598,16.23894954
Annex_I,OECD_Europe,IRL,Ireland,1.A.3.b_noRES,Road Transportation no resuspension,CO2,fossil,2386.421993,2564.242654,2758.384128,3064.808699,2991.990437,3159.508484,3260.884148,3709.200801,4392.089356,4492.310931,4338.447383,4409.565558,4181.512597,4026.433154,3933.158369,4259.973712,4209.321546,4046.580634,4160.543889,4449.256527,4619.917015,4806.295179,5219.282319,5198.362213,5417.932192,5601.867097,6516.753271,6860.312312,8135.091734,8996.391663,10025.41048,10481.62747,10685.81722,10865.49416,11520.17726,12201.42797,13243.98051,13641.90874,12837.63934,11654.6717,10871.79768,10372.60463,10157.94157,10327.19574,10732.65187,10916.17482,11508.86353,11264.02884,11426.17048
Annex_I,OECD_Europe,IRL,Ireland,1.A.3.c,Railways,CO2,fossil,126.266274,129.4229859,132.5796978,142.049826,265.1593881,142.049826,129.4229859,142.049826,113.6397378,116.7964496,116.7964496,116.7964496,123.1098734,107.326314,82.07324892,135.7364096,113.6397378,132.5796978,132.5796978,135.7364096,132.444117,128.6275224,115.3538264,126.6450806,119.3218221,110.7765138,129.0854382,124.508133,128.1699179,123.2864018,122.4627062,133.6624396,116.8783524,129.0854382,136.1055981,121.5124404,121.5124404,131.4085325,139.2688233,122.2036526,121.2695184,121.3293912,117.3741184,116.8910753,107.2316957,109.2805311,111.2974145,114.889701,116.0956118
Annex_I,OECD_Europe,IRL,Ireland,1.A.3.d,Water-borne Navigation,CO2,fossil,,,,,,,,,9.47013561,9.47013561,12.62653626,12.62653626,12.62653626,6.31342374,6.31342374,15.78324813,15.78324813,15.78324813,15.78324813,15.78324813,84.01675734,80.92070316,90.26952339,90.26952339,102.6534073,90.20854062,102.8960597,105.9917888,115.4619244,128.0278029,149.7347837,149.7731492,159.0959284,171.5181704,223.1447377,207.4750478,326.6302019,274.8706925,269.5761269,264.4465915,258.8420952,232.8754693,242.5851109,238.6363516,267.6621551,218.1946673,262.2049544,231.5251388,256.0776773
Annex_I,OECD_Europe,IRL,Ireland,1.A.3.e,Other Transportation,CO2,fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16382548,4.33258617,3.14245272,15.35746653,3.02454174,4.92777351,8.51179494,9.69793968,8.07797364,6.61796553,9.16828836,49.85552022,47.37519336,52.80349107
Annex_I,OECD_Europe,IRL,Ireland,1.A.4,Residential and other sectors,CO2,fossil,6399.945882,6532.366881,6332.361367,6230.423778,6610.061024,6344.665469,6542.875426,7171.000984,6335.470276,8079.537832,7262.267943,7712.50706,7861.541462,8225.060922,7223.469799,7556.541727,8640.708277,8430.743611,8107.102381,8348.709236,10201.90094,9978.514067,9251.901824,9212.648691,9380.873896,9351.208641,9243.861995,9032.495411,9518.001926,9428.697145,9565.818802,9930.936077,9819.010912,10202.0039,10259.65127,10799.1492,10592.68373,10343.31015,11201.37588,10562.75988,10858.20008,9607.167803,9145.74624,9004.407483,8018.333494,8420.348121,8467.161111,8396.727646,9137.055716
Annex_I,OECD_Europe,IRL,Ireland,1.A.5,Non-Specified,CO2,fossil,,,,,,,,,,,,,,,57.30613317,38.27149854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
