TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Slovenia,"65,866.38","60,132.54","62,618.28","59,713.75","55,677.65","57,750.16","53,179.19","59,092.43","59,834.74","54,738.93","54,677.49","59,873.91","65,647.11","62,473.21","64,393.88","64,410.92","65,508.64","66,917.79","64,301.39","59,746.53","60,850.08","61,322.32","58,317.28","56,605.45","43,905.49","44,710.28","48,038.41","47,747.30","47,372.21","44,640.54","42,711.44","39,155.60","31,314.82"
Slovakia,"327,873.93","291,368.38","257,495.97","256,280.23","228,580.46","225,686.97","223,246.73","212,898.33","196,138.64","190,708.33","178,826.16","185,305.11","178,694.72","192,209.17","189,372.18","177,468.88","186,579.96","167,642.13","167,839.70","162,148.27","163,169.41","155,059.87","145,573.04","144,472.92","143,357.17","137,286.69","134,902.03","141,379.38","139,797.53","114,297.37","96,505.13","118,203.75","100,601.24"
Finland,"171,655.16","168,996.11","147,142.15","173,651.04","215,924.60","180,363.39","218,052.79","201,099.45","150,403.20","150,637.10","151,862.85","174,768.81","186,431.34","245,438.31","225,055.01","136,571.42","213,232.10","198,867.02","140,956.93","148,036.91","192,039.42","165,306.64","125,394.20","158,587.70","128,560.97","114,530.93","123,766.35","118,744.58","114,527.43","89,118.97","76,979.49","87,054.66","90,141.56"
Sweden,"114,005.60","105,516.59","98,584.40","101,524.66","110,827.84","107,594.01","114,245.66","98,494.75","94,672.63","91,423.84","92,858.81","103,986.34","104,537.86","97,530.11","107,309.27","97,163.89","101,343.09","100,630.32","86,561.52","66,280.44","89,567.56","90,432.00","81,258.24","83,171.72","80,929.60","82,907.68","79,804.68","79,974.80","83,991.52","77,783.00","62,964.40","69,442.88","62,055.80"
Iceland,"2,686.14","2,727.75","1,930.86","1,886.70","2,818.32","2,303.31","2,678.07","2,346.99","2,763.60","2,403.09","4,086.54","3,869.04","4,029.06","3,797.76","4,304.04","4,161.96","3,722.82","4,460.85","3,910.89","3,575.67","3,773.40","3,798.69","3,878.70","4,086.09","3,631.77","3,893.88","4,055.83","4,073.90","4,713.06","4,446.66","3,888.58","5,379.87",
Norway,"36,123.40","32,844.60","32,171.00","35,580.40","41,330.30","42,855.80","42,062.90","43,092.60","44,848.80","44,467.50","44,003.40","39,533.60","34,043.80","33,020.20","38,821.90","32,485.50","29,869.70","33,698.10","35,978.60","23,496.80","31,951.10","35,427.80","34,183.40","32,455.30","35,588.80","34,369.30","31,720.70","35,491.70","34,466.70","33,543.24","34,487.81","35,173.95","33,889.16"
United Kingdom,"2,642,181.37","2,658,998.07","2,494,378.40","2,189,233.96","2,072,476.09","1,973,979.26","1,854,708.47","1,678,384.76","1,632,372.84","1,457,016.81","1,528,228.70","1,622,383.20","1,570,552.81","1,705,088.64","1,558,429.87","1,579,644.29","1,722,709.60","1,646,500.14","1,506,342.12","1,220,434.12","1,334,495.18","1,293,259.93","1,646,497.61","1,546,315.55","1,238,793.74","1,032,880.06","529,083.92","424,775.06","342,911.61","245,873.58",,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,"153,149.57","151,370.17","172,152.99","175,373.06","177,104.89","163,623.51","167,877.02","166,305.07",
Montenegro,,,,,,,,,,,,,,,,"11,996.93","13,354.41","10,526.37","15,770.09","8,636.58","17,572.68","17,766.09","15,951.72","15,399.12","15,012.30","15,841.20","12,907.72","13,150.43","14,921.78","15,424.52","16,033.21","14,068.48",
Moldova,,,,,,,,,,,,,,,,,,,,,"4,778.73","4,981.71","4,543.76","6,154.43","3,880.02","4,064.36","3,003.19","4,245.31","3,466.01","4,257.26","3,246.08","3,824.68",
North Macedonia,"55,522.99","55,690.12","55,372.80","55,548.39","57,874.91","59,668.49","57,728.19","53,989.36","69,888.68","61,283.94","56,034.69","61,667.33","54,051.11","61,363.58","58,600.17","61,343.14","59,379.50","61,504.92","62,004.80","56,034.97","54,631.44","61,118.09","58,517.19","48,692.18","45,367.14","39,702.36","36,854.55","40,710.23","35,179.43","43,482.47","31,818.02","27,342.52",
Albania,"26,359.28","15,702.12","3,978.94","2,027.66","1,663.47",787.44,"1,112.26",383.877,482.307,"1,171.32",718.539,836.655,610.266,629.952,629.952,531.522,531.522,531.522,689.01,"4,207.74","4,643.17","5,818.58","3,233.25","2,805.36","3,619.46","3,939.33","2,090.95","5,155.99","10,010.38","5,170.79","6,308.08","9,507.01",
Serbia,"425,868.34","362,569.60","376,951.92","350,695.30","321,162.01","370,048.31","385,950.91","398,216.89","431,073.57","320,192.55","361,947.72","349,944.08","370,402.46","395,153.10","411,329.04","337,190.72","366,744.92","361,407.43","374,451.56","335,728.62","324,584.57","366,698.72","319,093.21","331,168.05","262,136.00","324,056.07","331,496.07","329,612.18","316,058.71","314,163.06","330,858.24","292,505.26",
Türkiye,"659,176.90","695,322.01","700,109.87","648,289.13","644,784.25","668,411.16","777,521.31","866,732.77","882,794.11","810,018.72","971,654.03","797,717.83","821,429.75","922,563.94","935,495.47","944,666.80","1,102,802.80","1,243,311.17","1,221,760.21","1,272,445.67","1,301,870.34","1,385,849.32","1,451,486.33","1,248,502.93","1,418,660.83","1,448,545.25","1,585,550.12","1,678,530.60","1,709,248.17","1,751,050.30","1,661,929.94","1,733,238.17",
Ukraine,"3,395,388.68","3,031,034.38","3,010,822.40","2,674,939.94","2,139,339.16","2,119,857.72","1,596,714.12","1,560,036.68","1,599,756.72","1,582,926.71","1,609,235.57","1,567,408.55","1,574,563.62","1,619,552.82","1,538,803.47","1,556,518.54","1,673,415.46","1,782,936.30","1,745,335.60","1,496,646.78","1,596,465.07","1,732,622.82","1,777,243.82","1,737,889.18","1,486,689.83","1,255,822.19","1,238,825.09","1,073,367.34","1,170,512.54","1,087,977.97","953,776.44",,
Kosovo*,,,,,,,,,,,"40,565.89","51,456.87","51,113.58","54,577.90","54,414.06","52,011.04","51,788.38","54,113.60","58,455.11","66,365.56","70,113.94","67,947.55","64,146.93","65,128.20","56,739.41","65,214.15","70,668.75","59,369.07","60,045.48","62,996.19","64,629.31","65,609.78",
Georgia,,,,,,,,,,,,,,,,,,,,,,,,"13,197.75","12,178.05","11,378.44","10,954.71","12,207.37","12,667.53","10,097.32","8,919.90","9,395.54",
