time,type,outcome,att,att_low,att_high,pollutant
2009,counterfactual,7.120184621329912,-32.38966498643032,-43.135417142126144,-19.613278232038024,pm25
2010,treated,6.711990985205956,-31.32421606876684,-44.89555858139638,-14.410468972158997,pm25
2010,counterfactual,7.087764524188918,-31.32421606876684,-44.89555858139638,-14.410468972158997,pm25
2011,treated,6.685469055419348,-28.139054502643656,-45.04818038314079,-6.026851817119705,pm25
2011,counterfactual,7.015906302316887,-28.139054502643656,-45.04818038314079,-6.026851817119705,pm25
2012,treated,6.637614492570674,-30.48134233700447,-48.80340753604459,-5.60223775308295,pm25
2012,counterfactual,7.001189506433101,-30.48134233700447,-48.80340753604459,-5.60223775308295,pm25
2013,treated,6.638076569404384,-30.059394366403303,-48.50736306729693,-5.002178801070912,pm25
2013,counterfactual,6.995600364463929,-30.059394366403303,-48.50736306729693,-5.002178801070912,pm25
2014,treated,6.568319124283176,-31.2095589677999,-48.00731137545594,-8.984803390784514,pm25
2014,counterfactual,6.942424513470279,-31.2095589677999,-48.00731137545594,-8.984803390784514,pm25
2015,treated,6.489094131585179,-36.454332390668284,-54.64793537362049,-10.962115943738215,pm25
2015,counterfactual,6.9425054952069,-36.454332390668284,-54.64793537362049,-10.962115943738215,pm25
2016,treated,6.375875340522291,-44.88403938619913,-60.25958022493243,-23.55971246464057,pm25
2016,counterfactual,6.971606185984525,-44.88403938619913,-60.25958022493243,-23.55971246464057,pm25
2017,treated,6.459036260157448,-38.25627996733814,-56.42120184337729,-12.519685610183052,pm25
2017,counterfactual,6.941214175685157,-38.25627996733814,-56.42120184337729,-12.519685610183052,pm25
2018,treated,6.266273515583901,-50.57946236725223,-65.0193017416706,-30.178936913351308,pm25
2018,counterfactual,6.971077622221092,-50.57946236725223,-65.0193017416706,-30.178936913351308,pm25
2019,treated,6.172985324122465,-53.75618329665082,-67.77547502482918,-33.637793421604314,pm25
2019,counterfactual,6.9442277479903725,-53.75618329665082,-67.77547502482918,-33.637793421604314,pm25
2020,treated,6.05532700388506,-50.45326998445716,-66.741708369560925,-26.18747581772034,pm25
2020,counterfactual,6.757580924906659,-50.45326998445716,-66.741708369560925,-26.18747581772034,pm25
2021,treated,6.14293306666596,-45.474935917230795,-63.256343107775194,-19.088548481977853,pm25
2021,counterfactual,6.749442765275545,-45.474935917230795,-63.256343107775194,-19.088548481977853,pm25
