time,type,outcome,att,att_low,att_high,pollutant
2005,treated,10.364001136958029,2.70726292818817,-8.15635793722127,14.855874846398965,nox
2005,counterfactual,10.337288488666099,2.70726292818817,-8.15635793722127,14.855874846398965,nox
2006,treated,10.329793484665293,1.4476310054485575,-7.892306365260704,11.73466005380539,nox
2006,counterfactual,10.315420956005132,1.4476310054485575,-7.892306365260704,11.73466005380539,nox
2007,treated,10.282738638712761,-1.414385923780792,-11.491768256859359,9.81038838275583,nox
2007,counterfactual,10.296983475600877,-1.414385923780792,-11.491768256859359,9.81038838275583,nox
2008,treated,10.148164277930809,-12.475103017892685,-22.224640192366984,-1.5034117402222158,nox
2008,counterfactual,10.28141117408992,-12.475103017892685,-22.224640192366984,-1.5034117402222158,nox
2009,treated,10.069567497373285,-16.96430826020261,-28.239543705008863,-3.9174712830258085,nox
2009,counterfactual,10.25546714703588,-16.96430826020261,-28.239543705008863,-3.9174712830258085,nox
2010,treated,10.070935595844684,-17.228674139183997,-28.534137318255027,-4.134755704734405,nox
2010,counterfactual,10.260024086448134,-17.228674139183997,-28.534137318255027,-4.134755704734405,nox
2011,treated,9.998515428317456,-17.368816102942407,-28.21751093274295,-4.880526700155318,nox
2011,counterfactual,10.189298476004696,-17.368816102942407,-28.21751093274295,-4.880526700155318,nox
2012,treated,9.997161604116556,-20.44822414310461,-35.5499010565427,-1.807985624075359,nox
2012,counterfactual,10.225923711787555,-20.44822414310461,-35.5499010565427,-1.807985624075359,nox
2013,treated,9.88790988319128,-26.11014669266889,-41.725465852400376,-6.3105265166019215,nox
2013,counterfactual,10.190504553665248,-26.11014669266889,-41.725465852400376,-6.3105265166019215,nox
2014,treated,9.784328812973953,-30.43334824690521,-44.85207250551477,-12.244770456327391,nox
2014,counterfactual,10.147213687925152,-30.43334824690521,-44.85207250551477,-12.244770456327391,nox
2015,treated,9.719809296789919,-33.58481196920714,-46.989205357872585,-16.790962464460236,nox
2015,counterfactual,10.129053717048068,-33.58481196920714,-46.989205357872585,-16.790962464460236,nox
2016,treated,9.594549744174266,-40.30576053330809,-54.466355931441626,-21.741334382517884,nox
2016,counterfactual,10.110484405764584,-40.30576053330809,-54.466355931441626,-21.741334382517884,nox
2017,treated,9.55144983210612,-41.86521101381396,-56.15546276900136,-22.91733693841064,nox
2017,counterfactual,10.093855755700947,-41.86521101381396,-56.15546276900136,-22.91733693841064,nox
2018,treated,9.47658908977532,-38.40264033338187,-52.39151516713645,-20.30339274146359,nox
2018,counterfactual,9.961140268697463,-38.40264033338187,-52.39151516713645,-20.30339274146359,nox
2019,treated,9.377208759766598,-44.529659120101506,-58.16871824903029,-26.443594636905686,nox
2019,counterfactual,9.96653046640449,-44.529659120101506,-58.16871824903029,-26.443594636905686,nox
2020,treated,9.22337708222252,-41.04460030301856,-57.81058216924752,-17.615854113603767,nox
2020,counterfactual,9.751766047508893,-41.04460030301856,-57.81058216924752,-17.615854113603767,nox
2021,treated,9.250778770813747,-40.44065792551489,-56.823090424908514,-17.842308232454908,nox
2021,counterfactual,9.768975795479461,-40.44065792551489,-56.823090424908514,-17.842308232454908,nox
