"Country Name","Country Code","Unit Name","Unit Code",Time Period,"Brent Crude  (POILBRE)","Coal index  (PCOAL)","Coal, Australia (PCOALAU)","Coal, South Africa  (PCOALSA)","Dubai Crude  (POILDUB)","Natural gas, EU (PNGASEU)","Rare Earth Elements (PREODOM)","WTI Crude  (POILWTI)",
"World","001","Index","IX",2001,"54.8231349224898","49.3378587284039","46.1068309495261","52.5688865072818","55.0318153975558","88.9712316779698",,"59.9716616278807",
"World","001","Index","IX",2002,"55.7134219863977","39.4949091648006","38.6120184292201","40.3777999003811","57.3274141303768","61.2481189050867",,"60.3868935598867",
"World","001","Index","IX",2003,"63.8413763496303","43.2878876950788","39.8880144650725","46.687760925085","64.6516233138701","80.0840848505473",,"72.0047968852069",
"World","001","Index","IX",2004,"84.8144718861339","82.9185858052862","80.9481285287514","84.8890430818211","81.4074767765691","86.2557427258806",,"95.8013231256112",
"World","001","Index","IX",2005,"121.306495525217","71.9223526096731","72.5099931321705","71.3347120871758","119.022073134382","135.872894333844",,"130.604418718636",
"World","001","Index","IX",2006,"145.532580906752","76.8816561918452","75.2417416115499","78.5215707721404","148.341480731603","188.64854517611",,"152.818647984052",
"World","001","Index","IX",2007,"161.167468145955","98.3725577352775","100.010547242319","96.7345682282355","165.352167515647","187.040581929556",,"167.296665627108",
"World","001","Index","IX",2008,"215.909818630417","192.189155214338","196.946687412551","187.431623016125","225.240418549138","301.780245022971",,"230.247699513657",
"World","001","Index","IX",2009,"136.6067246781","104.445153931851","108.672519609201","100.217788254501","147.589366414575","203.407350689127",,"142.725466784047",
"World","001","Index","IX",2010,"177.037807768479","145.768580579541","149.25245159713","142.284709561952","188.564599593018","188.878254211332",,"183.682045917151",
"World","001","Index","IX",2011,"247.430151031367","182.638669113341","184.937132718416","180.340205508266","254.650816399112","243.415007656968",,"219.837089793231",
"World","001","Index","IX",2012,"248.478189951521","144.500042522722","144.749253641001","144.250831404442","263.075557064824","275.21056661562",,"217.796766808829",
"World","001","Index","IX",2013,"241.712418611935","126.651483704218","128.612689199158","124.690278209277","254.651477263982","257.025267993874","135.842954813544","226.512738626574",
"World","001","Index","IX",2014,"220.380393919082","110.1485970058","108.057975892526","112.239218119075","232.731165301572","240.352220520674","117.323937935886","215.342168504108",
"World","001","Index","IX",2015,"117.621559316726","89.0450008241451","89.4562453758358","88.6337562724544","122.7580489766","167.802450229709","113.54669519644","112.864194884015",
"World","001","Index","IX",2016,"100","100","100","100","100","100","100","100",
"World","001","Index","IX",2017,"121.756967222399","132.73894436317","134.325988718612","131.151900007727","128.137103174129","131.946048957123","99.6090503255483","117.72577959119",
"World","001","Index","IX",2018,"158.859938921594","156.791334530415","161.569444621828","152.013224439002","166.79464957402","181.839828401469","102.677665105847","149.887886260102",
"World","001","Index","IX",2019,"142.413020265883","113.954852320044","117.281846039056","110.627858601032","152.306840167933","102.332101853667","99.0058017007115","131.668828429776",
"World","001","Index","IX",2020,"96.1285066896018","94.8459750220672","88.4440645893957","101.247885454739","102.742326932135","73.0068104790215","90.5731530399382","91.0109593165039",
"World","001","Index","IX",2021,"157.127220622866","199.93913111868","205.452387425561","194.425874811798","166.292273833271","365.406509623707","185.358937641","157.153352693547",
"World","001","Percent Change over Previous Period","PC_PP_PT",1990,"30.0410352412013",,"4.38596491228074",,"30.4385709293133","28.0769139005653",,"24.9298964522586",
"World","001","Percent Change over Previous Period","PC_PP_PT",1991,"-15.3174281847242","-1.98308849972624","-1.25536433045799E-14","-4.18250950570342","-18.9503826281984","47.7887147020716",,"-12.3197122959891",
"World","001","Percent Change over Previous Period","PC_PP_PT",1992,"-3.57220100768144","-5.41721328176259","-2.78361344537816","-8.46560846560847","3.53557400664012","-21.3632621871946",,"-4.22323659366977",
"World","001","Percent Change over Previous Period","PC_PP_PT",1993,"-11.7442433190998","-13.2545670132938","-18.7466234467855","-6.50289017341042","-12.87379617177","9.86610400553669",,"-10.244394193756",
"World","001","Percent Change over Previous Period","PC_PP_PT",1994,"-6.58540864847993","4.47046814127697","3.08510638297872","5.95054095826893","-1.73284567257944","-11.0006437420563",,"-7.06985879146495",
"World","001","Percent Change over Previous Period","PC_PP_PT",1995,"7.76388809718627","22.6031643113684","21.8937048503612","23.3406272793581","9.67853162064009","16.5885875634374",,"7.25796840483906",
"World","001","Percent Change over Previous Period","PC_PP_PT",1996,"20.9886320435776","-4.06657406100339","-3.29551708081109","-4.85866351271437","14.8648684006664","1.99876491999435",,"20.2991898799775",
"World","001","Percent Change over Previous Period","PC_PP_PT",1997,"-7.199962469905","-7.15599762252719","-7.81369695112608","-6.469257353124","-2.00817369065895","-2.89562243764662",,"-7.04637789779021",
"World","001","Percent Change over Previous Period","PC_PP_PT",1998,"-32.0248619445426","-15.569576374512","-16.7192953298986","-14.3863473244903","-32.7243557022399","-15.9292640040842",,"-30.2225333867089",
"World","001","Percent Change over Previous Period","PC_PP_PT",1999,"37.9545707499422","-10.4922499627589","-11.4234398608775","-9.56003353308289","40.7579408053559","-19.512496602786",,"33.8999856013603",
"World","001","Percent Change over Previous Period","PC_PP_PT",2000,"59.2938240598208","5.46264526809823","1.3839716768587","9.46168634990386","52.5810396890544","91.1452728670254",,"57.691423162116",
