country,year,fuel_price
Estonia,2009,103.07704999244922
Estonia,2010,114.53163633386096
Estonia,2011,149.2519743735541
Estonia,2012,157.39072696845216
Estonia,2013,151.78578581728803
Estonia,2014,140.88750087116537
Estonia,2015,85.22888860588722
Estonia,2016,62.122242049611025
Estonia,2017,78.62787230433142
Estonia,2018,104.3057985931048
Estonia,2019,77.81004821212589
Estonia,2020,54.080579516969976
Estonia,2021,151.58475305146416
Finland,1990,53.56146123217684
Finland,1991,53.37175821609041
Finland,1992,49.102987646568
Finland,1993,45.62253803903663
Finland,1994,43.55274590933117
Finland,1995,49.75984992935115
Finland,1996,53.67972174383297
Finland,1997,50.807324066838234
Finland,1998,38.764385613437796
Finland,1999,42.054159814075845
Finland,2000,63.8647853916185
Finland,2001,63.209774523014886
Finland,2002,55.64721020021991
